deal_id,company_name,country,city,date,stage,amount_usd,disclosed,sector,description,founded_year,website,lead_investor,co_investors,investor_types,source,notes
,Utexo,UAE,,,Undisclosed,7500000,TRUE,Deep Tech & AI,,,,,,,News — Google News — UAE funding,REVIEW | UAE blockchain startup Utexo raises $7.5 million seed led by Tether - Wamda | https://news.google.com/rss/articles/CBMimAFBVV95cUxQbTRBQU02TmVjY0NKLUpRXzBxU3J
,Kitopi,UAE,,,Undisclosed,50000000,TRUE,Food & Agritech,,,,,,,News — Google News — UAE funding,REVIEW | UAE startup Kitopi raises $50m from Temasek-backed fund - Tech in Asia | https://news.google.com/rss/articles/CBMijwFBVV95cUxQQkN0RDdrQWtSb215MndQb0hIczV
,Zest Equity,UAE,,,Seed,3800000,TRUE,Fintech,,,,,,,News — Google News — UAE funding,"REVIEW | Zest Equity, a UAE-based startup digitizing private market deals, raises $3.8M seed funding - TechCr | https://news.google.com/rss/articles/CBMia0FVX3lxTE1EYzlzZDIxUVBna05Ud282MmZnbF9"
,True Gamers,UAE,,,Undisclosed,5000000,TRUE,Media & Entertainment,,,,,,,News — Google News — UAE funding,REVIEW | UAEs True Gamers raises $5 million to fuel its expansion - My Startup World | https://news.google.com/rss/articles/CBMiiwFBVV95cUxQTFcwRUlOYWtsRFBFblhFWmZTSGJ
,BioSapien,UAE,,,Seed,7000000,TRUE,Healthtech,,,,,,,News — Google News — UAE funding,REVIEW | UAE biotech startup BioSapien raises $7 million pre-Series A for cancer treatment platform - MENAbyt | https://news.google.com/rss/articles/CBMiY0FVX3lxTE9iRkhQMXFsUko2NEpyNVB1QkktQUx
,Infobrim,Saudi Arabia,,,Undisclosed,3500000,TRUE,Other,,,,,,,News — Google News — Saudi funding,REVIEW | Saudi Arabia's Infobrim secures angel funding at $3.5M valuation - Wamda | https://news.google.com/rss/articles/CBMikAFBVV95cUxNSzVyUXZ5RFZTX3FISUZucWRZZkF
,Newera.ai,Saudi Arabia,,,Pre-Seed,2100000,TRUE,Deep Tech & AI,,,,,,,News — Google News — Saudi funding,REVIEW | Newera.ai raises $2.1 million pre-seed to scale generative AI in Saudi Arabia - Wamda | https://news.google.com/rss/articles/CBMiogFBVV95cUxPc2NQTFloUU4tLTJyOW9nX0t1b3l
,Ovasave,UAE,,,Undisclosed,1200000,TRUE,Healthtech,,,,,,,News — Google News — GCC venture,"REVIEW | UAE femtech Ovasave secures $1.2 million to expand in Saudi, GCC - Wamda | https://news.google.com/rss/articles/CBMijwFBVV95cUxPZVdSMldJS2NieGI0YTJDQUFpMFh"
,SellAnyCar.com,UAE,,,Undisclosed,35000000,TRUE,E-commerce & Retail,,,,,,,News — Google News — GCC venture,REVIEW | UAE’s SellAnyCar.com Raises $35 Million in Funding - waya.media | https://news.google.com/rss/articles/CBMid0FVX3lxTE00MS1YYzZBN0o0Mm5nSE1RT1BjV3J
,Tabby,UAE,Dubai,,Undisclosed,23000000,TRUE,Fintech,,,,,,,News — Google News — GCC venture,REVIEW | Tabby raises $23 million in one of GCC’s largest Series-A round - StartUp Bahrain | https://news.google.com/rss/articles/CBMimAFBVV95cUxORkpadF90V0EwUVdLeTBLOFg0NGl
,GuestReady,UAE,Dubai,,Undisclosed,6000000,TRUE,Proptech,,,,,,,News — Google News — GCC venture,"REVIEW | GuestReady, a short-term rental management startup with presence in Dubai raises $6 million from Ven | https://news.google.com/rss/articles/CBMiW0FVX3lxTE5keFdEay1lcWNQQmJ5eTcwTHZORU1"
,Flow48,UAE,,,Undisclosed,69000000,TRUE,Fintech,,,,,,,News — Google News — Series A GCC,REVIEW | UAE fintech start-up Flow48 raises $69m in mix of debt and equity funding - FinTech Futures | https://news.google.com/rss/articles/CBMixgFBVV95cUxNWmhKdHpkNFdwY0k3eXRMR2pqWDF
,RemotePass,UAE,,,Series A,5500000,TRUE,SaaS & Enterprise Software,,,,,,,News — Google News — Series A GCC,REVIEW | UAE-based HRtech startup RemotePass raises $5.5M in Series A funding - YourStory.com | https://news.google.com/rss/articles/CBMikAFBVV95cUxOZXBUWl9tOUw0X3Z3Z2Z0M3BCMm9
,Thndr,UAE,,,Undisclosed,15700000,TRUE,Deep Tech & AI,,,,,,,News — Google News — Series A GCC,"REVIEW | Thndr raises $15.7m to expand investment access in MENA, targets UAE and Saudi Arabia - Techpoint Af | https://news.google.com/rss/articles/CBMiXkFVX3lxTE5kXzY0UFJfTVpyN3JjNmtFZHE3QVR"
,baraka,UAE,,,Series A,20000000,TRUE,Fintech,,,,,,,News — Google News — Series A GCC,REVIEW | UAE fintech baraka raises $20m Series A funding round - Gulf Business | https://news.google.com/rss/articles/CBMiiwFBVV95cUxNRFJFa0hGQVpVSFpOOGFvb2JhVUx
,Qlub,UAE,,,Undisclosed,25000000,TRUE,Fintech,,,,,,,News — Google News — Series A GCC,REVIEW | UAE’s fintech Qlub raises $25 million - Wamda | https://news.google.com/rss/articles/CBMickFVX3lxTE1feGhsdVlhTkxFNk03cGJLekduRm1
,Justmop,UAE,,,Series A,,FALSE,E-commerce & Retail,,,,,,,News — Google News — Series A GCC,"REVIEW | Justmop, a UAE-based on-demand cleaning services marketplace raises Series A funding - MENAbytes | https://news.google.com/rss/articles/CBMiVkFVX3lxTE1Lald6UTdSNFhRUm5OVHpqWEhTaVh"
,Karty,Qatar,,,Seed,2000000,TRUE,Fintech,,,,,,,News — Google News — seed GCC 2024,REVIEW | Qatari fintech Karty raises $2 million Seed round - Wamda | https://news.google.com/rss/articles/CBMiiAFBVV95cUxOMktwbERCeTQxYi1YZ1ZWcUpsNnQ
,Lola,Bahrain,,,Pre-Seed,,FALSE,Food & Agritech,,,,,,,News — Google News — seed GCC 2024,REVIEW | Bahrain’s Foodtech Lola secures 1.3M Pre-Seed funding for GCC expansion - StartUp Bahrain | https://news.google.com/rss/articles/CBMipAFBVV95cUxQTTlwZ1ZYeVFrcjNERUp5TW9GdVp
,Ninja,Bahrain,,,Undisclosed,254000000,TRUE,Logistics & Supply Chain,,,,,,,News — Google News — raises million Gulf,REVIEW | Ninja raises $254M to join GCC's unicorn club - StartUp Bahrain | https://news.google.com/rss/articles/CBMigAFBVV95cUxORkdncERRMUtnQW9TVnNsR0djbDN
